model,split,metric,point,mean,ci_lo,ci_hi,std
random_forest,random,rmse,0.8184657982877056,0.8184195211370734,0.8113348285419938,0.8255468819865002,0.003623062272302436
random_forest,random,mae,0.6319669451886788,0.6319322196143862,0.6265001333549997,0.6374573502983911,0.0027951079439854443
random_forest,random,r2,0.5870320809814402,0.5870552907738301,0.5798473981096488,0.5941044390116883,0.0036451024613501004
random_forest,random,pearson_r,0.7688266511471061,0.7688511502404991,0.7638029665328625,0.7737346979821237,0.0025359279549802354
random_forest,random,spearman_rho,0.7536758911549243,0.7536822417001153,0.7481689340885619,0.7589829364157339,0.0027779917205929725
random_forest,random,auroc,0.8645136633184785,0.8644994171518808,0.8601706536215424,0.8687862015521493,0.002205506078648487
xgboost,random,rmse,0.8934775555453287,0.8934734312480961,0.8867421327220941,0.9004541902259563,0.0034739588738046754
xgboost,random,mae,0.7100352296338951,0.7100389934746394,0.7043992268236279,0.7158608794852264,0.0028933707906676487
xgboost,random,r2,0.5078669429964296,0.5078469763662711,0.50058041348605,0.5149209571595942,0.003643227517189237
xgboost,random,pearson_r,0.7177453265898438,0.7177393967055665,0.7121948817827007,0.7231373976937325,0.0027874434756793506
xgboost,random,spearman_rho,0.6967427773149308,0.6967144431375875,0.6905723541213038,0.70280093074119,0.0031146863829431323
xgboost,random,auroc,0.8337075527872241,0.8336963226668243,0.8288213486927553,0.8384550440693708,0.0024398194641605344
elasticnet,random,rmse,1.2736454240341584,1.2736463541127727,1.2653202691545469,1.2818493515099707,0.004191371222929469
elasticnet,random,mae,1.0488559565163698,1.0488663902329791,1.041293942463956,1.0565174089766063,0.0038478126162082692
elasticnet,random,r2,-2.837387255838486e-05,-5.653316009662204e-05,-0.0002487174463361996,-8.368932887248273e-08,6.955285699163376e-05
elasticnet,random,pearson_r,,,,,
elasticnet,random,spearman_rho,,,,,
elasticnet,random,auroc,0.5,0.5,0.5,0.5,0.0
mlp,random,rmse,0.8241790625409574,0.8241154525884576,0.8163982195087439,0.8317768189299756,0.003922811021263449
mlp,random,mae,0.6234639216974133,0.6234281297925026,0.6177193974654818,0.6290681393835746,0.0029016757547395008
mlp,random,r2,0.5812465498571252,0.5812832912055894,0.5728381423923832,0.5894120361180262,0.004260498416245163
mlp,random,pearson_r,0.7638440184246967,0.7638765108422254,0.7586169361725865,0.7689332374280751,0.0026487580369136143
mlp,random,spearman_rho,0.7460762789815691,0.7460842152525246,0.7404004855995054,0.7516147878443993,0.0028793508961628893
mlp,random,auroc,0.8597765893412249,0.8597606863718719,0.8552960826984404,0.8640775697590621,0.0022495775082195615
esm_fp_mlp,random,rmse,0.7753475829494287,0.7753012320328536,0.7677220691632606,0.7828885328983055,0.0038399629323936694
esm_fp_mlp,random,mae,0.5821501483954531,0.5821186088253253,0.5767582109449226,0.5876198176587623,0.002726159544800236
esm_fp_mlp,random,r2,0.6293976903848748,0.6294165849351044,0.6217213084533514,0.6369390956824735,0.0039077307011608775
esm_fp_mlp,random,pearson_r,0.793515583452865,0.7935354843637479,0.7887456457185291,0.7981805766435955,0.0024248672465337654
esm_fp_mlp,random,spearman_rho,0.7762582112530223,0.7762608957404694,0.7710815895914825,0.7813966702196603,0.0026505372062396153
esm_fp_mlp,random,auroc,0.8729223638232991,0.87290241623825,0.8687460495381177,0.8771655481905685,0.0021567886516643078
gnn,random,rmse,0.828703756241056,0.828648843003142,0.8213786619541723,0.8359299994481744,0.00369390423557167
gnn,random,mae,0.6402263769863469,0.6401926594698343,0.634720687093891,0.6457907376812175,0.0028318836525185833
gnn,random,r2,0.5766360626501745,0.5766655482778299,0.5687525705688405,0.5845402378365347,0.004026688176694071
gnn,random,pearson_r,0.7601679977911504,0.7601973579852125,0.7551930622290387,0.7651587402887112,0.002544950363097212
gnn,random,spearman_rho,0.7456064562679815,0.7456171812691881,0.740113068569198,0.7510436432250411,0.0027972593153736736
gnn,random,auroc,0.8590557222953394,0.8590517407091518,0.8546121969108273,0.8633400227488006,0.0022422908368000924
fusion,random,rmse,0.7927055227629737,0.7926558893562873,0.7852754645875439,0.8000728440448354,0.0037548180562360194
fusion,random,mae,0.6026920833451979,0.6026659186281278,0.5972051129348085,0.6080849670529082,0.0027609478100878
fusion,random,r2,0.6126183767459302,0.6126407156840973,0.6046946018257604,0.6203776903103934,0.003968903356513459
fusion,random,pearson_r,0.7836720605255406,0.7836948839633587,0.7788688856008588,0.7884180342066164,0.00243066717743537
fusion,random,spearman_rho,0.7665601741961068,0.7665628029161294,0.7613579598823341,0.7717187512389384,0.0026826970398341555
fusion,random,auroc,0.8682340310496914,0.8682182559586794,0.8639440665941509,0.8724185251645417,0.0021643781457661598
random_forest,scaffold,rmse,0.9194385898641529,0.9194072349724808,0.9123167811548573,0.9266036627427793,0.00362878203178092
random_forest,scaffold,mae,0.721843581242396,0.7218327076545794,0.7158885865269923,0.7277803459331179,0.0030305408069632753
random_forest,scaffold,r2,0.4774562930739389,0.4774684634606285,0.47091029064170825,0.48387711938759376,0.003313655788594889
random_forest,scaffold,pearson_r,0.7121770377688711,0.7122008689165691,0.7068391182691581,0.7174949500158663,0.0027358013179761024
random_forest,scaffold,spearman_rho,0.7050636380795613,0.7050834784247196,0.6992349416276201,0.711058281918846,0.003036759910992147
random_forest,scaffold,auroc,0.8448891490934565,0.8449358559846014,0.8402584310966009,0.8497103002915891,0.0024079033840687155
xgboost,scaffold,rmse,0.9608327185241855,0.960781872808087,0.9534238964525438,0.9683493893832104,0.003809420817497012
xgboost,scaffold,mae,0.7570662235663258,0.757046276486709,0.7508835732773862,0.7632985284575262,0.003154452061770202
xgboost,scaffold,r2,0.4293461741044059,0.4293788446483335,0.42161410463818394,0.4370860824510654,0.003946863678508372
xgboost,scaffold,pearson_r,0.6636743972703318,0.6637085891253613,0.6573589727579591,0.6699485657156636,0.003220883443427043
xgboost,scaffold,spearman_rho,0.6405301695940878,0.64054421547629,0.6336212635687748,0.6475845443457063,0.003577884281488211
xgboost,scaffold,auroc,0.8117425035354249,0.8117944905445594,0.8063488738514043,0.8171654890419738,0.0027421637784769393
elasticnet,scaffold,rmse,1.2737560598453788,1.2737645125047588,1.2656405280391423,1.281989301206993,0.004218169889641383
elasticnet,scaffold,mae,1.0426368773357482,1.0426445542651894,1.0351982673717122,1.0504507685530526,0.0039062405312426315
elasticnet,scaffold,r2,-0.002881668305093843,-0.002924652060213087,-0.004097256689976619,-0.001865316683710283,0.0005743753947578564
elasticnet,scaffold,pearson_r,,,,,
elasticnet,scaffold,spearman_rho,,,,,
elasticnet,scaffold,auroc,0.5,0.5,0.5,0.5,0.0
mlp,scaffold,rmse,0.9053428304947396,0.9053097415540746,0.897648401044356,0.9129959729939362,0.003930649281277038
mlp,scaffold,mae,0.6968465085388861,0.6968288559536675,0.6907985128948618,0.7027885494013996,0.003052943855669204
mlp,scaffold,r2,0.4933555378001926,0.4933632228607101,0.48485437179031293,0.5018708034161495,0.004322296160992819
mlp,scaffold,pearson_r,0.7045462225382731,0.7045564135007678,0.698599961311639,0.7104321941471486,0.0030044364012019173
mlp,scaffold,spearman_rho,0.6887873128653338,0.688791852794502,0.6825195537122176,0.6951135595310868,0.0032247341164626663
mlp,scaffold,auroc,0.8418947556538542,0.8419165341197058,0.8371145862218454,0.8468074422787922,0.0024630210322350373
esm_fp_mlp,scaffold,rmse,0.8972182286770355,0.8971882519102834,0.8892867871896579,0.9052725914780739,0.004072942848376693
esm_fp_mlp,scaffold,mae,0.6843736568557417,0.6843537925846447,0.6783876785242778,0.6904994085515138,0.0030628573705202295
esm_fp_mlp,scaffold,r2,0.5024080446105499,0.5024104533800977,0.4933353373442956,0.5111282032034715,0.0045719841124127625
esm_fp_mlp,scaffold,pearson_r,0.7108674124508194,0.7108779546857867,0.7048265653167645,0.7166658312245123,0.0030243358416690864
esm_fp_mlp,scaffold,spearman_rho,0.6947102756944834,0.6947069727456898,0.6883660546705231,0.700966691026632,0.0032232449713778784
esm_fp_mlp,scaffold,auroc,0.8369580408283801,0.8369793398908336,0.8318987141724635,0.8420510186220516,0.0025824296828041876
gnn,scaffold,rmse,0.9409209646534344,0.9408706440093825,0.9329807421322202,0.9487230368689478,0.0040161693491266755
gnn,scaffold,mae,0.7297092130168294,0.7296705839707349,0.7234867793667058,0.735933638765671,0.0031633259725519897
gnn,scaffold,r2,0.4527529063778526,0.45277894873619773,0.44344258354140936,0.4621121213582271,0.004720230425178748
gnn,scaffold,pearson_r,0.6756850735495106,0.6757132454108125,0.6693134789590328,0.6820879692129922,0.0032382243464042447
gnn,scaffold,spearman_rho,0.6565873365976291,0.6566060569101342,0.6498265608300551,0.6634622169581799,0.0034665994435442013
gnn,scaffold,auroc,0.819845281856551,0.819893957485638,0.8146779978050673,0.8252563590239329,0.0026946174067879417
fusion,scaffold,rmse,0.94447231423927,0.9444347939258317,0.9363457707915128,0.9526066651013624,0.004140661879289763
fusion,scaffold,mae,0.7257342314980296,0.7257085964431157,0.7194321696532251,0.7320582597887818,0.00320197739612118
fusion,scaffold,r2,0.4486141243623085,0.4486235495007693,0.43876686958672056,0.4584504135426975,0.005004613006628662
fusion,scaffold,pearson_r,0.6765254568727563,0.6765396018137275,0.6700583951407505,0.6830587873489146,0.003310301780394849
fusion,scaffold,spearman_rho,0.6573292738920382,0.6573152663424253,0.6504287169513246,0.6641656177007877,0.00351005307644086
fusion,scaffold,auroc,0.8206711882023549,0.8206998881739314,0.815399792468158,0.8259248603647963,0.0026952509269823326
random_forest,target,rmse,1.0674024734040686,1.0673388059969602,1.0589268259831182,1.0759573356632197,0.004367747528349747
random_forest,target,mae,0.8338668837062583,0.8338195839071354,0.8267472854499855,0.8408461375750317,0.0036012563916806716
random_forest,target,r2,0.2653681970307863,0.26536470381296856,0.25530544734018534,0.2751462222409,0.005083724167813296
random_forest,target,pearson_r,0.5196275967922142,0.5196434515738992,0.5106336830484746,0.5283816307187059,0.004529183457051769
random_forest,target,spearman_rho,0.46489666381980105,0.4649000736249567,0.4554468453610742,0.4740163432447117,0.004742017714925506
random_forest,target,auroc,0.7058447957776326,0.7058503659659243,0.6996934018139196,0.7120139401961598,0.0031522992043347916
xgboost,target,rmse,1.1354859610135364,1.1353940574064563,1.126222363242267,1.1447369153274765,0.004726868471191474
xgboost,target,mae,0.8884638543159343,0.8883933111122995,0.8808919341191183,0.8958499114950036,0.0038174720238710823
xgboost,target,r2,0.16866349007623316,0.16869556686158954,0.15727570771751642,0.1801369114066153,0.005732186702224037
xgboost,target,pearson_r,0.42644045522741814,0.42649421549441574,0.41555419737230254,0.4373107847435502,0.005444304453547535
xgboost,target,spearman_rho,0.39392548253469056,0.3939671186875952,0.38372621174839117,0.4041098966465401,0.005143574890488492
xgboost,target,auroc,0.6616788966281224,0.6616995354293281,0.6550147454606953,0.6683787505361979,0.003397625836059767
elasticnet,target,rmse,1.2672582440913933,1.267203569735616,1.2592596096286108,1.2752304989335248,0.004077159567559399
elasticnet,target,mae,1.045044841497719,1.0450046833933035,1.0375786382841523,1.052473176180096,0.0037956178675025228
elasticnet,target,r2,-0.035484413704810924,-0.03550742302327043,-0.03967456845821451,-0.03159113248797704,0.002073671763876799
elasticnet,target,pearson_r,,,,,
elasticnet,target,spearman_rho,,,,,
elasticnet,target,auroc,0.5,0.5,0.5,0.5,0.0
mlp,target,rmse,1.0901649581443673,1.0900790569780094,1.0814079731926851,1.0987104637087224,0.0044399463321906345
mlp,target,mae,0.8511732672961709,0.8511189059014203,0.8439404166985373,0.8583932531353987,0.003696252785463571
mlp,target,r2,0.23370189415501574,0.23372301127298434,0.22209490760514852,0.24512448036245757,0.0059135583653270795
mlp,target,pearson_r,0.5269380016148311,0.5269778204948581,0.51833922306975,0.5354129126227126,0.004382195425071275
mlp,target,spearman_rho,0.47339857399027496,0.4734264293133099,0.4646044346852751,0.48220552196288596,0.004469929406774103
mlp,target,auroc,0.7178006211719524,0.7178025740502246,0.7120427875067564,0.7234901051822761,0.0029143999917314706
esm_fp_mlp,target,rmse,1.1767250295773355,1.1766782375949643,1.1672772080189164,1.1859285260207342,0.004759705588123069
esm_fp_mlp,target,mae,0.9237250409485007,0.9236948308272269,0.9159329635049632,0.9312862703914342,0.00391620920427646
esm_fp_mlp,target,r2,0.10718125506879106,0.10714305302034768,0.09557260445526723,0.11859599330810748,0.005899061851455741
esm_fp_mlp,target,pearson_r,0.37195324433472027,0.37195159689919965,0.36142684402385095,0.3825001898046134,0.005333930779495861
esm_fp_mlp,target,spearman_rho,0.3608956488964886,0.3608874237176966,0.35090079198004354,0.3707953431692113,0.005085158689925399
esm_fp_mlp,target,auroc,0.6514778875639838,0.6514719377716284,0.6449559623071607,0.6580942170727391,0.003361236426874588
gnn,target,rmse,1.1458278793414076,1.145772065604978,1.1374489661228542,1.1542671429543137,0.0042484301318044095
gnn,target,mae,0.9160204251508843,0.9159938719279036,0.9088019490958315,0.9234383630628761,0.0036962608332244385
gnn,target,r2,0.15345102693076484,0.1534269922008085,0.14208046744458752,0.16451581549367156,0.005705057195135362
gnn,target,pearson_r,0.441066075558109,0.4410736911320533,0.43161712360274157,0.4503361144503037,0.004796499939738438
gnn,target,spearman_rho,0.38856804004440576,0.38856883484126514,0.3789897692435534,0.39810081673843073,0.0048868018984783365
gnn,target,auroc,0.6575448705016509,0.65754733585244,0.6512662158737699,0.6638951591659259,0.0032401493347396187
fusion,target,rmse,1.137766860855575,1.1376900057253683,1.1287636585111585,1.1466578418792555,0.004600480993767773
fusion,target,mae,0.894365742917112,0.8943003029686597,0.887101691256722,0.9017628846541335,0.0037651190632624685
fusion,target,r2,0.16532024935625733,0.1653248647310632,0.1527991556882598,0.17775520458493302,0.006364586486631053
fusion,target,pearson_r,0.4646349939146766,0.46466858450090315,0.45512126187319774,0.47389656809442854,0.004764212806941152
fusion,target,spearman_rho,0.4176259300029532,0.4176454247839797,0.4081477772671843,0.42705517345394134,0.004808421123817368
fusion,target,auroc,0.6792487610791722,0.6792618020581267,0.6732022206582581,0.6854270250030738,0.003116624955932215
