rmse,mae,r2,pearson_r,spearman_rho,gene_symbol,n_compounds,model,split
0.825772611971757,0.6296896734777795,0.579388426372211,0.7941477608380737,0.8129249615944295,JAK1,1053,random_forest,random
0.7520840011510456,0.5812501279748673,0.6760543264429815,0.8229155582819483,0.8112883571851397,JAK2,1216,random_forest,random
0.9210767634114182,0.7333263690294245,0.5553395756559185,0.7636904547219945,0.7374204977004396,JAK3,680,random_forest,random
0.7573791594224786,0.6123186846050367,0.6107975414145461,0.7847014917648542,0.7950562560674367,TYK2,597,random_forest,random
0.848642313410511,0.6522377729084943,0.5557682111372416,0.7773221897932088,0.8014511754036058,JAK1,1053,xgboost,random
0.8420856021560519,0.6588538057880879,0.5938822535371235,0.7715503832353392,0.7565614668597869,JAK2,1216,xgboost,random
0.9428735391547856,0.7603695151511323,0.5340452735854349,0.750961970209108,0.7054229595947886,JAK3,680,xgboost,random
0.8064044949921978,0.6526975896199124,0.5587804435764965,0.7492769962640129,0.7580415267927199,TYK2,597,xgboost,random
1.5295633080691156,1.2672354075774603,-0.44309586791649047,,,JAK1,1053,elasticnet,random
1.381997412749341,1.107099052799914,-0.0938403601204636,,,JAK2,1216,elasticnet,random
1.412427471560108,1.1223394438786114,-0.045608578248631515,,,JAK3,680,elasticnet,random
1.3951374693937924,1.1575461320347393,-0.32063523250077797,,,TYK2,597,elasticnet,random
0.8620463788941612,0.6669842315959248,0.5416243561586664,0.7853079639307622,0.8020187353658758,JAK1,1053,mlp,random
0.7817407885614355,0.5997384557405007,0.6500024301674109,0.8079016518832851,0.7972338616783448,JAK2,1216,mlp,random
0.9442808927568804,0.7426975873462468,0.5326532471078578,0.7486418072807982,0.7247287668427136,JAK3,680,mlp,random
0.7843842799480071,0.6165608534167667,0.5825479132005948,0.7771629961517252,0.7860781016196229,TYK2,597,mlp,random
0.5660351233541508,0.41459995027054863,0.8023726458958604,0.8969887640885787,0.900852309379676,JAK1,1053,esm_fp_mlp,random
0.6909758442183557,0.512589437004767,0.7265579974330474,0.854946602559836,0.8389179169960375,JAK2,1216,esm_fp_mlp,random
0.6556890658132439,0.4648684438537149,0.7746628856449704,0.8822509575919195,0.859531842206636,JAK3,680,esm_fp_mlp,random
0.6113298539452906,0.4520143823607683,0.746428683339587,0.8649854228396934,0.8723230453905984,TYK2,597,esm_fp_mlp,random
0.8450005780939273,0.6417486348383108,0.5595726229067963,0.7764058728962601,0.7917457593767993,JAK1,1053,gnn,random
0.7689442955806406,0.5989943550605523,0.6613670183551568,0.8143878723599306,0.8048884011283448,JAK2,1216,gnn,random
0.917146799601704,0.7303926411797018,0.559125931220761,0.7633654804881564,0.7273406280657168,JAK3,680,gnn,random
0.784197959705029,0.6250351669400981,0.5827461696855707,0.7767420863432584,0.7870431984681843,TYK2,597,gnn,random
0.624709604322289,0.45493234279375355,0.7592775135618908,0.871480604500559,0.875294247734059,JAK1,1053,fusion,random
0.6789408271450622,0.5084980879175035,0.7360003531478556,0.8605452251076109,0.8498594901027464,JAK2,1216,fusion,random
0.7375262926328876,0.5419105445637422,0.7149035166480269,0.84597963107366,0.8201790341067391,JAK3,680,fusion,random
0.6384018815500331,0.5054606456852438,0.7234731969808668,0.8506201533401172,0.8565541874992217,TYK2,597,fusion,random
0.6242132160119761,0.4520623046281286,0.7221088313951285,0.8572121011738949,0.8640918068891557,JAK1,864,random_forest,scaffold
0.8528805204053966,0.634412547107935,0.6158199112583305,0.795867880694207,0.7898508867369951,JAK2,988,random_forest,scaffold
0.8653072512050296,0.7066366973484945,0.5711264118931246,0.7805455809728821,0.7412095975725782,JAK3,449,random_forest,scaffold
0.878864761549323,0.7109647869492742,0.29764406046047975,0.703623836566279,0.6482373430991353,TYK2,397,random_forest,scaffold
0.667338769323777,0.5034350302657479,0.6823846096227238,0.8312955128064625,0.838518678305882,JAK1,864,xgboost,scaffold
0.9182916608868819,0.6852137376295031,0.5546312479976105,0.750774070698443,0.7304459083895514,JAK2,988,xgboost,scaffold
0.9141814994901061,0.7302347259314304,0.5213109739372644,0.7293541812575376,0.6735462899899376,JAK3,449,xgboost,scaffold
0.839296426617951,0.6850982887197574,0.35946346761131764,0.7087406537294015,0.6749752840656889,TYK2,397,xgboost,scaffold
1.4925905127099868,1.2334912740715438,-0.5888766394702101,,,JAK1,864,elasticnet,scaffold
1.4076568652052455,1.1569826228343256,-0.046530927552095536,,,JAK2,988,elasticnet,scaffold
1.4153733846777983,1.1412650783506888,-0.14744179425161819,,,JAK3,449,elasticnet,scaffold
1.7110847627085006,1.5262961740342904,-1.6622951685435474,,,TYK2,397,elasticnet,scaffold
0.6498777346767552,0.48449745419939566,0.6987880885059519,0.838930546509615,0.8371253434309373,JAK1,864,mlp,scaffold
0.8542713741913174,0.6311972699010968,0.614565869197017,0.7866190075889499,0.7764435881197113,JAK2,988,mlp,scaffold
0.8687106386072472,0.6826888545840053,0.5677461248876992,0.7548957043865003,0.720733856490137,JAK3,449,mlp,scaffold
0.8880420799032908,0.7082615825406842,0.28289913417045676,0.6914576389098991,0.650249336923853,TYK2,397,mlp,scaffold
0.5728131855176389,0.4157605011154104,0.7659897637881528,0.8811142853784586,0.8769867429651995,JAK1,864,esm_fp_mlp,scaffold
0.8104914167783978,0.5909089183035167,0.6530592501715693,0.8087592509859326,0.806130144966909,JAK2,988,esm_fp_mlp,scaffold
0.7937989590930906,0.5903618649013324,0.6390810154477877,0.8031280888633713,0.7674850147285928,JAK3,449,esm_fp_mlp,scaffold
0.6870361417022843,0.5219483567725501,0.5707874757018886,0.7785216975827158,0.7175351483964222,TYK2,397,esm_fp_mlp,scaffold
0.6779797178546614,0.5186019655730989,0.6721748670519966,0.8318715255706048,0.8314333956828902,JAK1,864,gnn,scaffold
0.914391509978205,0.6807022726970163,0.558406326435318,0.7498026088760865,0.7451050367623355,JAK2,988,gnn,scaffold
0.8846270095143021,0.7060874894360922,0.5517615920334585,0.7435709780998565,0.7141314732818748,JAK3,449,gnn,scaffold
0.8360074101112325,0.6527029320935458,0.36447378114433027,0.7178594500750043,0.680240707416851,TYK2,397,gnn,scaffold
0.5875885688726868,0.4211701375466806,0.7537617483983762,0.872123769292519,0.8679275103607902,JAK1,864,fusion,scaffold
0.8456545319662276,0.6193833558665596,0.6223022182953768,0.7903967599885905,0.7830736959381498,JAK2,988,fusion,scaffold
0.8266409314885008,0.6397177233196845,0.6085984977870433,0.7841510021479713,0.7568634319062291,JAK3,449,fusion,scaffold
0.7569700310010167,0.5901224643217227,0.47896057005081094,0.7341923109958364,0.6502014745640289,TYK2,397,fusion,scaffold
